symbol,lastPrice,pChange,open,dayHigh,dayLow,fetchTime
ADANIPORTS,1446.1,-0.44,1452.4,1456.5,1445.6,2025-07-18 10:10:49
UNITDSPR,1373.8,-0.45,1387,1387,1373.8,2025-07-18 10:10:49
360ONE,1200,-0.46,1214,1214.2,1184,2025-07-18 10:10:49
SUNPHARMA,1695.5,-0.46,1709,1709.4,1692.4,2025-07-18 10:10:49
AUROPHARMA,1148.8,-0.47,1155,1155.8,1145.2,2025-07-18 10:10:49
BRITANNIA,5780,-0.47,5807.5,5820,5775,2025-07-18 10:10:49
TITAN,3417.2,-0.47,3444,3444,3411.7,2025-07-18 10:10:49
SBIN,825.05,-0.48,832,832.65,822.65,2025-07-18 10:10:49
LICI,923.75,-0.48,928.25,932.85,923.2,2025-07-18 10:10:49
ALKEM,4994.3,-0.49,5048,5048,4990.2,2025-07-18 10:10:49
IREDA,158.44,-0.5,159.59,159.7,158.31,2025-07-18 10:10:49
LUPIN,1945.6,-0.52,1949.5,1958.9,1926.5,2025-07-18 10:10:49
KALYANKJIL,597.35,-0.52,601.5,603.85,596.85,2025-07-18 10:10:49
HDFCLIFE,747.8,-0.53,755,757,746.1,2025-07-18 10:10:49
CIPLA,1474.6,-0.53,1481.1,1484.8,1474,2025-07-18 10:10:49
ASHOKLEY,123.1,-0.53,123.7,124.45,123.05,2025-07-18 10:10:49
SJVN,98.52,-0.54,99.05,99.38,98.52,2025-07-18 10:10:49
CHAMBLFERT,551.85,-0.55,555,557,551.55,2025-07-18 10:10:49
BALKRISIND,2727.1,-0.55,2728.6,2748.1,2710.5,2025-07-18 10:10:49
ADANIGREEN,1044.1,-0.57,1042.7,1051,1040.4,2025-07-18 10:10:49
ASIANPAINT,2385.2,-0.57,2400.6,2405,2384.4,2025-07-18 10:10:49
IDFCFIRSTB,73.06,-0.57,73.46,73.72,72.92,2025-07-18 10:10:49
MARICO,729.05,-0.58,733.3,734.1,728.1,2025-07-18 10:10:49
TATATECH,720.5,-0.59,728,728,720,2025-07-18 10:10:49
SHRIRAMFIN,661.55,-0.59,670,670.5,661,2025-07-18 10:10:49
ETERNAL,258.1,-0.6,259.95,260.2,256.75,2025-07-18 10:10:49
EXIDEIND,381.25,-0.08,382.95,385.15,381.05,2025-07-18 10:10:49
PPLPHARMA,215.56,-0.61,217.1,217.6,214.72,2025-07-18 10:10:49
NAUKRI,1370.8,-0.62,1384,1393.4,1368.4,2025-07-18 10:10:49
RVNL,379.1,-0.62,381.5,382.6,379,2025-07-18 10:10:49
PHOENIXLTD,1492.9,-0.63,1509.9,1511.5,1491.9,2025-07-18 10:10:49
NYKAA,216.1,-0.63,217.47,218.47,216.1,2025-07-18 10:10:49
IRCTC,769.65,-0.66,774.1,775.7,769.2,2025-07-18 10:10:49
HUDCO,227.72,-0.66,229.8,230.76,227.72,2025-07-18 10:10:49
AUBANK,791.7,-0.66,796.95,801,791.3,2025-07-18 10:10:49
PIIND,4108.1,-0.67,4125,4136.3,4105.5,2025-07-18 10:10:49
PEL,1330.2,-0.68,1345.2,1351,1330.1,2025-07-18 10:10:49
HINDPETRO,437,-0.68,440,441.85,435.6,2025-07-18 10:10:49
COLPAL,2381.5,-0.69,2403,2405,2380,2025-07-18 10:10:49
ICICIGI,1935.5,-0.69,1956.7,1959.9,1933,2025-07-18 10:10:49
VBL,486.75,-0.69,491.75,491.75,484.2,2025-07-18 10:10:49
BSE,2457.8,-0.69,2480,2487.1,2452.5,2025-07-18 10:10:49
GRASIM,2746.7,-0.71,2771,2774,2744.9,2025-07-18 10:10:49
IEX,204.26,-0.72,205.6,206.47,204.11,2025-07-18 10:10:49
HCLTECH,1532.8,0.06,1544,1548,1532.2,2025-07-18 10:10:49
BSOFT,429,0.18,431.1,433.4,426.1,2025-07-18 10:10:49
APLAPOLLO,1682,-0.76,1696,1704.8,1675.1,2025-07-18 10:10:49
FORTIS,804.1,-0.76,810.25,813.7,803.4,2025-07-18 10:10:49
ZYDUSLIFE,975.2,-0.77,986.95,986.95,975.2,2025-07-18 10:10:49
MAZDOCK,3024.3,-0.78,3056.9,3090,3022,2025-07-18 10:10:49
PIDILITIND,2969.1,-0.78,2992,2995.5,2968.7,2025-07-18 10:10:49
TATACHEM,931,-0.79,938.45,939.9,931,2025-07-18 10:10:49
SUPREMEIND,4229.7,-0.85,4270,4270,4216.1,2025-07-18 10:10:49
INDUSTOWER,402.75,-0.86,406.25,407.3,402.3,2025-07-18 10:10:49
PERSISTENT,5447.5,-0.86,5503,5535.5,5445,2025-07-18 10:10:49
MPHASIS,2819.2,-0.87,2857,2862,2817.9,2025-07-18 10:10:49
CYIENT,1285,-0.88,1291.1,1296.3,1285,2025-07-18 10:10:49
APOLLOHOSP,7284,-0.9,7384.5,7384.5,7282,2025-07-18 10:10:49
HFCL,81.87,-0.9,82.63,83,81.81,2025-07-18 10:10:49
KPITTECH,1270.5,-0.9,1285,1287.1,1270,2025-07-18 10:10:49
IGL,217.08,-0.9,218.96,220.14,217,2025-07-18 10:10:49
GODREJCP,1266.6,-0.91,1278.2,1279.8,1263.8,2025-07-18 10:10:49
TITAGARH,936.8,-0.91,945.45,950.85,936.6,2025-07-18 10:10:49
JUBLFOOD,683.25,-0.73,688.2,688.2,682.95,2025-07-18 10:10:49
SYNGENE,664.3,-0.91,671.05,672.1,663.55,2025-07-18 10:10:49
DIVISLAB,6726,-0.95,6780,6781.5,6726,2025-07-18 10:10:49
TATAPOWER,409.5,-0.96,411,414.15,409.3,2025-07-18 10:10:49
BEL,400.2,-0.99,404.25,406.95,400,2025-07-18 10:10:49
UNOMINDA,1105.7,-0.99,1116.8,1117.6,1104.3,2025-07-18 10:10:49
ABCAPITAL,266.35,-0.99,268.5,269.55,266.1,2025-07-18 10:10:49
SOLARINDS,14997,-0.99,15147,15221,14981,2025-07-18 10:10:49
CDSL,1696.9,-1.0,1714,1717.5,1695.7,2025-07-18 10:10:49
ICICIPRULI,636.5,-1.0,644,645.45,636.25,2025-07-18 10:10:49
SBICARD,899.6,-1.01,908.1,908.15,898.65,2025-07-18 10:10:49
JIOFIN,314.95,-1.01,320.5,323.95,314.7,2025-07-18 10:10:49
NHPC,86.94,-1.02,87.8,87.84,86.91,2025-07-18 10:10:49
HAL,4738,-1.07,4804.8,4808.9,4734,2025-07-18 10:10:49
TECHM,1546.6,-1.09,1573,1574,1543.1,2025-07-18 10:10:49
COFORGE,1845,-1.09,1865.3,1869.5,1844.3,2025-07-18 10:10:49
TORNTPOWER,1370.4,-1.11,1386.9,1386.9,1370.1,2025-07-18 10:10:49
MCX,8162.5,-1.17,8259,8268.5,8156,2025-07-18 10:10:49
KOTAKBANK,2144.4,-1.1,2167.6,2168,2140.2,2025-07-18 10:10:49
BLUESTARCO,1857.5,-0.86,1881.9,1890.8,1855.6,2025-07-18 10:10:49
PETRONET,306.7,-1.35,310.9,310.9,306.6,2025-07-18 10:10:49
INOXWIND,164.91,-1.36,167.4,167.93,164.85,2025-07-18 10:10:49
CUMMINSIND,3531.6,-0.55,3559,3569.2,3528.6,2025-07-18 10:10:49
DABUR,520.5,-0.56,522.45,522.5,519.3,2025-07-18 10:10:49
AARTIIND,449.2,-1.56,456.3,456.95,448.75,2025-07-18 10:10:49
LTIM,5108,-1.67,5239,5239,5077.5,2025-07-18 10:10:49
ANGELONE,2692.6,-1.73,2739,2739,2690.5,2025-07-18 10:10:49
BDL,1710.4,-1.86,1740,1762.8,1705,2025-07-18 10:10:49
BHARTIARTL,1892.5,-1.12,1915.1,1916,1892.3,2025-07-18 10:10:49
SBILIFE,1767.2,-1.97,1799,1802.8,1764.3,2025-07-18 10:10:49
POLICYBZR,1754.4,-2.01,1791.2,1794.8,1753.3,2025-07-18 10:10:49
CGPOWER,675.4,-2.02,695,695.5,674.2,2025-07-18 10:10:49
MAXHEALTH,1218,-2.06,1241.5,1249.1,1216,2025-07-18 10:10:49
AXISBANK,1115.2,-3.85,1090,1115.9,1086,2025-07-18 10:10:49
MOTHERSON,102.41,-0.17,102.64,103.59,102.17,2025-07-18 10:10:49
